,Title,Published_date,Views,Likes,Comments,Month
0,How long does it take to become a Data Scientist? #shorts,2023-01-12,1923,128,3,Jan
1,Where & how to start your Data Science Journey #shorts,2023-01-09,2485,141,2,Jan
2,How I Would NOT Learn Data Science in 2023.,2023-01-03,42003,1706,151,Jan
3,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,3856,162,25,Dec
4,The Essential Programming Concepts For Learning Data Science,2022-11-14,16811,713,46,Nov
5,The Data Content House: What You Missed,2022-10-07,9582,325,56,Oct
6,Is Data Science A Good Career?,2022-09-29,42541,1431,117,Sep
7,IRON ANALYST (Teaser) #shorts,2022-09-27,4384,281,24,Sep
8,When a New Data Scientist Joins The Team,2022-08-29,15112,685,128,Aug
9,State of Data Science - Web Data,2022-08-05,10211,360,34,Aug
10,Data Science Town Hall - State of Data Science,2022-08-04,9768,377,38,Aug
11,The Programming Roadmap For Data Science,2022-07-29,16423,896,52,Jul
12,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,38888,1814,85,Jun
13,Machine Learning Saves My Baseball Career?,2022-06-10,7079,323,68,Jun
14,Every Data Scientist... (funny!),2022-05-24,14574,802,144,May
15,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15883,429,65,May
16,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,40595,1145,81,Apr
17,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,17968,780,99,Mar
18,Data Scientists VS NFT Scam,2022-03-03,4485,187,51,Mar
19,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,10433,490,144,Feb
20,What Professional Data Scientists ACTUALLY Do,2022-02-14,85316,2980,180,Feb
21,Can You Analyze My Data Better Than I Can?,2022-01-31,6516,307,62,Jan
22,Giving Back to My Most Engaged Subscribers!,2022-01-28,2275,117,89,Jan
23,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,16453,650,92,Jan
24,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8507,418,85,Jan
25,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,7914,229,32,Jan
26,The Only Data Science Explanation You Need,2022-01-10,31711,1797,167,Jan
27,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14109,642,144,Jan
28,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,314660,14095,510,Dec
29,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,8888,355,63,Dec
30,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,7361,523,24,Dec
31,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,23229,1134,152,Dec
32,Why Is Data Engineering So HOT Right Now?,2021-11-26,28330,1065,141,Nov
33,Is Data Science Dying?,2021-11-19,109942,3541,348,Nov
34,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7759,386,112,Nov
35,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3582,200,48,Nov
36,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,10227,254,33,Oct
37,ML Ops: What is it REALLY?,2021-10-22,5504,247,61,Oct
38,Business Skills for Data Science: What are they REALLY?,2021-10-18,6476,290,50,Oct
39,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2192,123,5,Oct
40,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5583,277,67,Oct
41,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12170,520,112,Aug
42,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,8974,360,32,Aug
43,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,35416,1332,29,Aug
44,How I Learned to Learn.,2021-07-31,47499,2234,205,Jul
45,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,9174,517,49,Jul
46,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2356,93,30,Jul
47,Why are APIs Important for Data Science?,2021-07-09,8842,426,95,Jul
48,Is Your Phone REALLY Listening to You?,2021-07-03,4978,277,118,Jul
